date,commitCount,Repository
2024-03-24,4,meta-llama/llama3
2024-03-31,21,meta-llama/llama3
2024-04-07,3,meta-llama/llama3
2024-04-14,59,meta-llama/llama3
2024-04-21,5,meta-llama/llama3
2024-04-28,1,meta-llama/llama3
2024-05-05,0,meta-llama/llama3
2024-05-12,1,meta-llama/llama3
2024-05-19,4,meta-llama/llama3
2024-05-26,0,meta-llama/llama3
2024-06-02,0,meta-llama/llama3
2024-06-09,0,meta-llama/llama3
2024-06-16,0,meta-llama/llama3
2024-06-23,0,meta-llama/llama3
2024-06-30,0,meta-llama/llama3
2024-07-07,1,meta-llama/llama3
2024-07-14,0,meta-llama/llama3
2024-07-21,2,meta-llama/llama3
2024-07-28,1,meta-llama/llama3
2024-08-04,0,meta-llama/llama3
2024-08-11,0,meta-llama/llama3
2024-08-18,0,meta-llama/llama3
2024-08-25,0,meta-llama/llama3
2024-09-01,0,meta-llama/llama3
2024-09-08,0,meta-llama/llama3
2024-09-15,0,meta-llama/llama3
2024-09-22,0,meta-llama/llama3
2024-09-29,0,meta-llama/llama3
2024-10-06,0,meta-llama/llama3
2024-10-13,0,meta-llama/llama3
2024-10-20,0,meta-llama/llama3
2024-10-27,0,meta-llama/llama3
2024-11-03,0,meta-llama/llama3
2024-11-10,0,meta-llama/llama3
2024-11-17,0,meta-llama/llama3
2024-11-24,0,meta-llama/llama3
2024-12-01,0,meta-llama/llama3
2024-12-08,0,meta-llama/llama3
2024-12-15,0,meta-llama/llama3
2024-12-22,0,meta-llama/llama3
2024-12-29,0,meta-llama/llama3
2025-01-05,0,meta-llama/llama3
2025-01-12,0,meta-llama/llama3
2025-01-19,0,meta-llama/llama3
2025-01-26,1,meta-llama/llama3
2025-02-02,0,meta-llama/llama3
2025-02-09,0,meta-llama/llama3
2025-02-16,0,meta-llama/llama3
2025-02-23,0,meta-llama/llama3
2025-03-02,0,meta-llama/llama3
2025-03-09,0,meta-llama/llama3
2025-03-16,0,meta-llama/llama3
2025-03-23,0,meta-llama/llama3
2025-03-30,0,meta-llama/llama3
2025-04-06,0,meta-llama/llama3
2025-04-13,0,meta-llama/llama3
2025-04-20,0,meta-llama/llama3
2023-06-18,13,ollama/ollama
2023-06-25,124,ollama/ollama
2023-07-02,100,ollama/ollama
2023-07-09,43,ollama/ollama
2023-07-16,120,ollama/ollama
2023-07-23,57,ollama/ollama
2023-07-30,55,ollama/ollama
2023-08-06,82,ollama/ollama
2023-08-13,38,ollama/ollama
2023-08-20,20,ollama/ollama
2023-08-27,17,ollama/ollama
2023-09-03,23,ollama/ollama
2023-09-10,21,ollama/ollama
2023-09-17,45,ollama/ollama
2023-09-24,46,ollama/ollama
2023-10-01,25,ollama/ollama
2023-10-08,46,ollama/ollama
2023-10-15,51,ollama/ollama
2023-10-22,37,ollama/ollama
2023-10-29,40,ollama/ollama
2023-11-05,25,ollama/ollama
2023-11-12,98,ollama/ollama
2023-11-19,61,ollama/ollama
2023-11-26,25,ollama/ollama
2023-12-03,45,ollama/ollama
2023-12-10,36,ollama/ollama
2023-12-17,38,ollama/ollama
2023-12-24,8,ollama/ollama
2023-12-31,38,ollama/ollama
2024-01-07,53,ollama/ollama
2024-01-14,26,ollama/ollama
2024-01-21,38,ollama/ollama
2024-01-28,29,ollama/ollama
2024-02-04,17,ollama/ollama
2024-02-11,35,ollama/ollama
2024-02-18,32,ollama/ollama
2024-02-25,11,ollama/ollama
2024-03-03,36,ollama/ollama
2024-03-10,37,ollama/ollama
2024-03-17,11,ollama/ollama
2024-03-24,45,ollama/ollama
2024-03-31,24,ollama/ollama
2024-04-07,24,ollama/ollama
2024-04-14,43,ollama/ollama
2024-04-21,73,ollama/ollama
2024-04-28,49,ollama/ollama
2024-05-05,82,ollama/ollama
2024-05-12,35,ollama/ollama
2024-05-19,41,ollama/ollama
2024-05-26,34,ollama/ollama
2024-06-02,28,ollama/ollama
2024-06-09,30,ollama/ollama
2024-06-16,37,ollama/ollama
2024-06-23,18,ollama/ollama
2024-06-30,62,ollama/ollama
2024-07-07,45,ollama/ollama
2024-07-14,30,ollama/ollama
2024-07-21,30,ollama/ollama
2024-07-28,36,ollama/ollama
2024-08-04,21,ollama/ollama
2024-08-11,22,ollama/ollama
2024-08-18,15,ollama/ollama
2024-08-25,19,ollama/ollama
2024-09-01,27,ollama/ollama
2024-09-08,15,ollama/ollama
2024-09-15,14,ollama/ollama
2024-09-22,4,ollama/ollama
2024-09-29,1,ollama/ollama
2024-10-06,12,ollama/ollama
2024-10-13,15,ollama/ollama
2024-10-20,12,ollama/ollama
2024-10-27,19,ollama/ollama
2024-11-03,16,ollama/ollama
2024-11-10,17,ollama/ollama
2024-11-17,42,ollama/ollama
2024-11-24,17,ollama/ollama
2024-12-01,11,ollama/ollama
2024-12-08,25,ollama/ollama
2024-12-15,13,ollama/ollama
2024-12-22,4,ollama/ollama
2024-12-29,7,ollama/ollama
2025-01-05,6,ollama/ollama
2025-01-12,13,ollama/ollama
2025-01-19,1,ollama/ollama
2025-01-26,12,ollama/ollama
2025-02-02,29,ollama/ollama
2025-02-09,22,ollama/ollama
2025-02-16,21,ollama/ollama
2025-02-23,50,ollama/ollama
2025-03-02,38,ollama/ollama
2025-03-09,63,ollama/ollama
2025-03-16,26,ollama/ollama
2025-03-23,8,ollama/ollama
2025-03-30,16,ollama/ollama
2025-04-06,14,ollama/ollama
2025-04-13,16,ollama/ollama
2025-04-20,0,ollama/ollama
2022-10-23,16,langchain-ai/langchain
2022-10-30,20,langchain-ai/langchain
2022-11-06,32,langchain-ai/langchain
2022-11-13,22,langchain-ai/langchain
2022-11-20,30,langchain-ai/langchain
2022-11-27,25,langchain-ai/langchain
2022-12-04,21,langchain-ai/langchain
2022-12-11,22,langchain-ai/langchain
2022-12-18,22,langchain-ai/langchain
2022-12-25,35,langchain-ai/langchain
2023-01-01,26,langchain-ai/langchain
2023-01-08,33,langchain-ai/langchain
2023-01-15,24,langchain-ai/langchain
2023-01-22,53,langchain-ai/langchain
2023-01-29,33,langchain-ai/langchain
2023-02-05,40,langchain-ai/langchain
2023-02-12,54,langchain-ai/langchain
2023-02-19,52,langchain-ai/langchain
2023-02-26,44,langchain-ai/langchain
2023-03-05,45,langchain-ai/langchain
2023-03-12,43,langchain-ai/langchain
2023-03-19,43,langchain-ai/langchain
2023-03-26,73,langchain-ai/langchain
2023-04-02,61,langchain-ai/langchain
2023-04-09,79,langchain-ai/langchain
2023-04-16,103,langchain-ai/langchain
2023-04-23,113,langchain-ai/langchain
2023-04-30,108,langchain-ai/langchain
2023-05-07,102,langchain-ai/langchain
2023-05-14,134,langchain-ai/langchain
2023-05-21,94,langchain-ai/langchain
2023-05-28,92,langchain-ai/langchain
2023-06-04,68,langchain-ai/langchain
2023-06-11,78,langchain-ai/langchain
2023-06-18,112,langchain-ai/langchain
2023-06-25,80,langchain-ai/langchain
2023-07-02,133,langchain-ai/langchain
2023-07-09,93,langchain-ai/langchain
2023-07-16,117,langchain-ai/langchain
2023-07-23,148,langchain-ai/langchain
2023-07-30,113,langchain-ai/langchain
2023-08-06,165,langchain-ai/langchain
2023-08-13,158,langchain-ai/langchain
2023-08-20,152,langchain-ai/langchain
2023-08-27,179,langchain-ai/langchain
2023-09-03,167,langchain-ai/langchain
2023-09-10,82,langchain-ai/langchain
2023-09-17,121,langchain-ai/langchain
