repository,repo,release_id,name,tag_name,published_at
ollama/ollama,ollama/ollama,212992425,v0.6.6,v0.6.6,2025-04-17 04:34:58+00:00
ollama/ollama,ollama/ollama,210490276,v0.6.5,v0.6.5,2025-04-06 00:15:39+00:00
ollama/ollama,ollama/ollama,209962628,v0.6.4,v0.6.4,2025-04-02 22:14:24+00:00
ollama/ollama,ollama/ollama,207567371,v0.6.3,v0.6.3,2025-03-22 02:56:08+00:00
ollama/ollama,ollama/ollama,206417741,v0.6.2,v0.6.2,2025-03-18 03:11:33+00:00
ollama/ollama,ollama/ollama,205734174,v0.6.1,v0.6.1,2025-03-14 02:58:48+00:00
ollama/ollama,ollama/ollama,205159307,v0.6.0,v0.6.0,2025-03-11 23:37:42+00:00
ollama/ollama,ollama/ollama,202859377,v0.5.13,v0.5.13,2025-02-27 18:27:51+00:00
ollama/ollama,ollama/ollama,201458894,v0.5.12,v0.5.12,2025-02-20 17:32:40+00:00
ollama/ollama,ollama/ollama,200333648,v0.5.11,v0.5.11,2025-02-14 08:25:18+00:00
ollama/ollama,ollama/ollama,200308503,v0.5.10,v0.5.10,2025-02-14 04:14:34+00:00
ollama/ollama,ollama/ollama,199747168,v0.5.9,v0.5.9,2025-02-12 02:33:49+00:00
ollama/ollama,ollama/ollama,198400593,v0.5.8,v0.5.8,2025-02-05 20:40:08+00:00
ollama/ollama,ollama/ollama,195083421,v0.5.7,v0.5.7,2025-01-16 18:17:33+00:00
ollama/ollama,ollama/ollama,194827854,v0.5.6,v0.5.6,2025-01-15 05:50:29+00:00
ollama/ollama,ollama/ollama,193800987,v0.5.5,v0.5.5,2025-01-08 22:55:42+00:00
ollama/ollama,ollama/ollama,191250917,v0.5.4,v0.5.4,2024-12-17 21:54:59+00:00
ollama/ollama,ollama/ollama,190791469,v0.5.3,v0.5.3,2024-12-17 04:14:27+00:00
ollama/ollama,ollama/ollama,190265280,v0.5.2,v0.5.2,2024-12-11 20:43:33+00:00
ollama/ollama,ollama/ollama,189504473,v0.5.1,v0.5.1,2024-12-06 23:48:45+00:00
ollama/ollama,ollama/ollama,189045442,v0.5.0,v0.5.0,2024-12-04 21:35:06+00:00
ollama/ollama,ollama/ollama,188317371,v0.4.7,v0.4.7,2024-12-01 02:52:17+00:00
ollama/ollama,ollama/ollama,187927437,v0.4.6,v0.4.6,2024-11-28 00:11:52+00:00
ollama/ollama,ollama/ollama,187434981,v0.4.5,v0.4.5,2024-11-26 02:19:22+00:00
ollama/ollama,ollama/ollama,187077058,v0.4.4,v0.4.4,2024-11-23 02:28:20+00:00
ollama/ollama,ollama/ollama,186520186,v0.4.3,v0.4.3,2024-11-20 22:27:30+00:00
ollama/ollama,ollama/ollama,185537432,v0.4.2,v0.4.2,2024-11-15 01:22:31+00:00
ollama/ollama,ollama/ollama,184437276,v0.4.1,v0.4.1,2024-11-08 19:58:30+00:00
ollama/ollama,ollama/ollama,180776078,v0.4.0,v0.4.0,2024-10-21 05:10:12+00:00
ollama/ollama,ollama/ollama,180539218,v0.3.14,v0.3.14,2024-10-17 22:31:45+00:00
ollama/ollama,ollama/ollama,179444955,v0.3.13,v0.3.13,2024-10-11 19:41:40+00:00
ollama/ollama,ollama/ollama,176210600,v0.3.12,v0.3.12,2024-09-23 03:39:10+00:00
ollama/ollama,ollama/ollama,175345659,v0.3.11,v0.3.11,2024-09-17 21:40:04+00:00
ollama/ollama,ollama/ollama,173755218,v0.3.10,v0.3.10,2024-09-06 16:17:06+00:00
ollama/ollama,ollama/ollama,172905379,v0.3.9,v0.3.9,2024-08-31 19:26:05+00:00
ollama/ollama,ollama/ollama,172254342,v0.3.8,v0.3.8,2024-08-28 01:09:45+00:00
ollama/ollama,ollama/ollama,171105455,v0.3.7,v0.3.7,2024-08-20 17:45:41+00:00
ollama/ollama,ollama/ollama,170052645,v0.3.6,v0.3.6,2024-08-13 20:27:42+00:00
ollama/ollama,ollama/ollama,169681457,v0.3.5,v0.3.5,2024-08-11 20:50:10+00:00
ollama/ollama,ollama/ollama,168823160,v0.3.4,v0.3.4,2024-08-06 16:28:23+00:00
ollama/ollama,ollama/ollama,168398643,v0.3.3,v0.3.3,2024-08-02 16:37:11+00:00
ollama/ollama,ollama/ollama,168144099,v0.3.2,v0.3.2,2024-08-01 01:14:02+00:00
ollama/ollama,ollama/ollama,167744592,v0.3.1,v0.3.1,2024-07-30 04:18:45+00:00
ollama/ollama,ollama/ollama,167034492,v0.3.0,v0.3.0,2024-07-25 01:57:13+00:00
ollama/ollama,ollama/ollama,166379938,v0.2.8,v0.2.8,2024-07-21 18:21:56+00:00
ollama/ollama,ollama/ollama,166126673,v0.2.7,v0.2.7,2024-07-18 20:21:35+00:00
ollama/ollama,ollama/ollama,165769387,v0.2.6,v0.2.6,2024-07-18 03:22:42+00:00
ollama/ollama,ollama/ollama,165318463,v0.2.5,v0.2.5,2024-07-13 23:25:02+00:00
ollama/ollama,ollama/ollama,165308417,v0.2.4,v0.2.4,2024-07-13 18:03:13+00:00
ollama/ollama,ollama/ollama,165286614,v0.2.3,v0.2.3,2024-07-13 05:06:43+00:00
ollama/ollama,ollama/ollama,164924263,v0.2.2,v0.2.2,2024-07-11 16:57:32+00:00
ollama/ollama,ollama/ollama,164548703,v0.2.1,v0.2.1,2024-07-09 06:56:54+00:00
ollama/ollama,ollama/ollama,163643882,v0.2.0,v0.2.0,2024-07-02 19:25:35+00:00
ollama/ollama,ollama/ollama,163080367,v0.1.48,v0.1.48,2024-06-29 03:30:26+00:00
ollama/ollama,ollama/ollama,162695424,v0.1.47,v0.1.47,2024-06-27 06:09:56+00:00
ollama/ollama,ollama/ollama,161754529,v0.1.46,v0.1.46,2024-06-22 00:44:28+00:00
ollama/ollama,ollama/ollama,160632602,v0.1.45,v0.1.45,2024-06-15 19:11:17+00:00
